"Id","Lon","Lat"
"Eurypyga helias",-56.857471,-16.748095
"Eurypyga helias",-56.688123,-16.47502
"Eurypyga helias",-55.931108,-9.597261
"Eurypyga helias",-84.12078,10.41562
"Eurypyga helias",-56.929161,-17.11743
"Eurypyga helias",-56.69135,-16.456923
"Eurypyga helias",-66.767178,4.110152
"Eurypyga helias",-69.293403,-12.83692
"Eurypyga helias",-60.56488,-2.901896
"Eurypyga helias",-66.767178,4.110152
"Eurypyga helias",-65.081441,-14.009014
"Eurypyga helias",-56.620833,-16.378611
"Eurypyga helias",-62.915611,9.915843
"Eurypyga helias",-61.642891,8.044884
"Eurypyga helias",-70.80802,-12.27625
"Eurypyga helias",-84.0677,10.4502
"Eurypyga helias",-67.384171,8.855221
"Eurypyga helias",-66.426044,8.049881
"Eurypyga helias",-80.138054,8.624302
"Eurypyga helias",-68.082168,8.933617
"Eurypyga helias",-73.232593,-3.70661
"Eurypyga helias",-74.776533,-0.181059
"Eurypyga helias",-74.8643,-0.174694
"Eurypyga helias",-56.943046,-17.102716
"Eurypyga helias",-72.716103,-3.449749
"Eurypyga helias",-69.32579,7.427156
"Eurypyga helias",-69.32579,7.427156
"Eurypyga helias",-84.069515,10.451299
"Eurypyga helias",-52.8749,-12.9799
"Eurypyga helias",-84.738384,10.979968
"Eurypyga helias",-64.281451,-17.232913
"Eurypyga helias",-71.721348,-12.068576
"Eurypyga helias",-80.139127,8.62146
"Eurypyga helias",-59.974383,-2.373933
"Eurypyga helias",-60.423122,-3.111877
"Eurypyga helias",-56.711769,-16.51224
"Eurypyga helias",-56.711769,-16.51224
"Eurypyga helias",-74.8643,-0.174694
"Eurypyga helias",-55.987959,-9.246651
"Eurypyga helias",-74.794408,-0.133264
"Eurypyga helias",-56.877233,-16.758115
"Eurypyga helias",-74.597453,-0.137775
"Eurypyga helias",-74.905722,-0.1473
"Eurypyga helias",-74.831906,-0.188806
"Eurypyga helias",-74.905722,-0.1473
"Eurypyga helias",-74.807844,-0.101547
"Eurypyga helias",-55.863043,-16.345982
"Eurypyga helias",-79.654969,9.080811
"Eurypyga helias",-71.721348,-12.068576
"Eurypyga helias",-76.041603,-0.548078
"Eurypyga helias",-76.377661,-0.527358
"Eurypyga helias",-72.149505,5.12197
"Eurypyga helias",-60.030906,-3.211116
"Eurypyga helias",-79.654969,9.080811
"Eurypyga helias",-66.242065,5.676118
"Eurypyga helias",-64.997538,7.072601
"Eurypyga helias",-61.38741,4.61267
"Eurypyga helias",-55.786518,-19.25696
"Eurypyga helias",-66.242065,5.676118
"Eurypyga helias",-66.242065,5.676118
"Eurypyga helias",-66.242065,5.676118
"Eurypyga helias",-56.711769,-16.51224
"Eurypyga helias",-55.931108,-9.597261
"Eurypyga helias",-72.068381,4.644268
"Eurypyga helias",-68.965301,7.761341
"Eurypyga helias",-84.64983,10.527476
"Eurypyga helias",-61.38741,4.61267
"Eurypyga helias",-56.69135,-16.456923
"Eurypyga helias",-84.0677,10.4502
"Eurypyga helias",-84.0677,10.4502
"Eurypyga helias",-84.008494,10.454879
"Eurypyga helias",-70.654364,-12.454261
"Eurypyga helias",-72.849666,-3.442668
"Eurypyga helias",-83.507815,10.096633
"Eurypyga helias",-56.877233,-16.758115
"Eurypyga helias",-84.068769,10.440511
"Eurypyga helias",-79.654969,9.080811
"Eurypyga helias",-72.917451,-3.257883
"Eurypyga helias",-56.620833,-16.378611
"Eurypyga helias",-67.934647,3.855683
"Eurypyga helias",-68.012581,4.023179
"Eurypyga helias",-68.012581,4.023179
"Eurypyga helias",-80.13921,8.621396
"Eurypyga helias",-61.62782,4.56078
"Eurypyga helias",-79.649248,9.077836
"Eurypyga helias",-59.393012,3.561609
"Eurypyga helias",-58.991346,3.875432
"Eurypyga helias",-58.790159,3.849228
"Eurypyga helias",-58.790159,3.849228
"Eurypyga helias",-61.0835,4.63688
"Eurypyga helias",-71.721348,-12.068576
"Eurypyga helias",-76.149341,-0.637584
"Eurypyga helias",-50.000496,-9.417565
"Eurypyga helias",-76.731646,-1.104746
"Eurypyga helias",-79.728126,9.14091
"Eurypyga helias",-70.702906,-12.355031
"Eurypyga helias",-72.917451,-3.257883
"Eurypyga helias",-72.849666,-3.442668
"Eurypyga helias",-68.082168,8.933617
"Eurypyga helias",-68.082168,8.933617
"Eurypyga helias",-68.082168,8.933617
"Eurypyga helias",-68.082168,8.933617
"Eurypyga helias",-68.082168,8.933617
"Eurypyga helias",-69.32579,7.427156
"Eurypyga helias",-84.0677,10.4502
"Eurypyga helias",-70.100465,-12.568784
"Eurypyga helias",-69.610866,-13.134196
"Eurypyga helias",-59.393012,3.561609
"Eurypyga helias",-80.139127,8.62146
"Eurypyga helias",-69.50891,-12.93293
"Eurypyga helias",-84.001787,10.455275
"Eurypyga helias",-66.379977,4.998369
"Eurypyga helias",-79.134678,0.143189
"Eurypyga helias",-70.676937,-12.430542
"Eurypyga helias",-84.0128,10.4288
"Eurypyga helias",-83.754144,10.188229
"Eurypyga helias",-75.956483,-9.614789
"Eurypyga helias",-68.082168,8.933617
"Eurypyga helias",-69.32579,7.427156
"Eurypyga helias",-68.082168,8.933617
"Eurypyga helias",-69.32579,7.427156
"Eurypyga helias",-68.082168,8.933617
"Eurypyga helias",-70.7064,-12.35545
"Eurypyga helias",-70.70436,-9.935373
"Eurypyga helias",-56.877233,-16.758115
"Eurypyga helias",-59.960632,-3.252951
